INFO 2023-04-25 11:55:36,201 Watching for file changes with StatReloader
INFO 2023-04-25 11:55:39,080 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 11:55:39,101 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 11:55:39,211 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 11:55:39,214 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 11:55:39,215 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 11:55:39,222 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 11:55:39,227 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 11:55:39,228 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 11:55:39,234 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 11:55:39,239 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 11:55:39,242 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 11:55:39,243 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 11:55:39,244 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 11:55:39,248 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 11:56:09,611 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
WARNING 2023-04-25 11:56:09,622 Not Found: /favicon.ico
WARNING 2023-04-25 11:56:09,622 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 11:56:09,766 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 11:56:27,286 "POST /accounts/login/ HTTP/1.1" 200 4114
WARNING 2023-04-25 11:56:27,397 Not Found: /favicon.ico
INFO 2023-04-25 11:56:31,262 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-25 11:56:41,676 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-25 11:59:59,009 Watching for file changes with StatReloader
INFO 2023-04-25 12:00:01,653 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:00:01,672 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:00:14,113 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:00:14,123 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:00:14,126 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:00:14,128 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:00:14,129 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:00:14,130 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:00:14,133 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:00:14,136 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:00:14,137 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:00:14,140 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:00:14,138 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:00:14,139 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:00:14,138 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:00:44,104 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:00:44,123 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 12:06:30,333 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:06:30,353 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:12:04,138 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:12:04,156 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:12:04,237 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:12:04,243 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:12:04,309 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:12:14,969 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:12:18,352 "GET /staff/list/ HTTP/1.1" 200 9695
INFO 2023-04-25 12:12:20,668 "GET /finance/list/ HTTP/1.1" 200 10355
INFO 2023-04-25 12:12:23,590 "GET /result/create/ HTTP/1.1" 200 10923
INFO 2023-04-25 12:12:25,699 "GET /result/edit-results/ HTTP/1.1" 200 12069
INFO 2023-04-25 12:12:26,834 "GET /result/view/all HTTP/1.1" 200 10295
